TABLE_NAMEÿAscendingÿ1,ORDINAL_POSITION,Name,Type,Collation,Nullable,Default,Attributes,Key,GeneratedExpr,ENGINE,TableCollation,
IONBadges,1,id,int(10) unsigned,NULL,NO,NULL,auto_increment,PRI,NULL,InnoDB,utf8mb4_unicode_ci,
IONBadges,2,name,varchar(50),utf8mb4_unicode_ci,NO,NULL,,UNI,NULL,InnoDB,utf8mb4_unicode_ci,
IONBadges,3,description,text,utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONBadges,4,icon,varchar(10),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONBadges,5,color,varchar(7),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONBadges,6,created_at,timestamp,NULL,YES,current_timestamp(),,,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,1,id,int(11),NULL,NO,NULL,auto_increment,PRI,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,2,domain,varchar(255),utf8mb4_unicode_ci,NO,NULL,,UNI,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,3,status,"enum('active','inactive','pending','deleted')",utf8mb4_unicode_ci,YES,'active',,MUL,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,4,name_servers,text,utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,5,created_on,datetime,NULL,YES,NULL,,MUL,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,6,redirect_url,varchar(2048),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,7,zone_id,varchar(64),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,8,speed_opt_applied,tinyint(1),NULL,YES,0,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,9,dns_a_set,tinyint(1),NULL,YES,0,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,10,mx_set,tinyint(1),NULL,YES,0,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,11,worker_routes_set,tinyint(1),NULL,YES,0,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,12,redirect_rule_set,tinyint(1),NULL,YES,0,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,13,last_error,timestamp,NULL,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,14,updated_at,timestamp,NULL,YES,current_timestamp(),on update current_timestamp(),,NULL,InnoDB,utf8mb4_unicode_ci,
IONDomains,15,created_at,timestamp,NULL,YES,current_timestamp(),,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,1,email,varchar(255),utf8mb4_unicode_ci,NO,NULL,,UNI,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,2,fullname,varchar(255),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,3,profile_name,varchar(255),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,4,handle,varchar(64),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,5,profile_visibility,"enum('Private','Public','Restricted')",utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,6,location,varchar(255),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,7,slug,varchar(255),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,8,phone_number,varchar(20),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,9,about,text,utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,10,status,"enum('active','inactive','blocked')",utf8mb4_unicode_ci,YES,'active',,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,11,created_at,datetime,NULL,YES,current_timestamp(),,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,12,photo_url,varchar(512),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,13,user_role,"enum('Owner','Admin','Member','Creator','Viewer','...",utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,14,preferences,longtext,utf8mb4_bin,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,15,gender,"enum('Male','Female','Other')",utf8mb4_unicode_ci,YES,NULL,,MUL,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,16,otp_code,varchar(6),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,17,expires_at,datetime,NULL,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,18,last_login,datetime,NULL,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,19,login_count,int(11),NULL,YES,0,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,20,google_id,varchar(255),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,21,discord_user_id,varchar(64),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,22,x_user_id,varchar(64),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,23,meta_facebook_id,varchar(64),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,24,linkedin_id,varchar(64),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,25,user_id,int(10) unsigned,NULL,NO,NULL,auto_increment,PRI,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,26,user_login,varchar(100),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,27,wp_user_id,int(11),NULL,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,28,user_url,varchar(255),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONEERS,29,dob,date,NULL,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,1,id,bigint(20) unsigned,NULL,NO,NULL,auto_increment,PRI,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,2,zip_code,char(5),utf8mb4_unicode_ci,NO,NULL,,UNI,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,3,official_usps_city_name,varchar(128),utf8mb4_unicode_ci,NO,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,4,official_usps_state_code,char(2),utf8mb4_unicode_ci,NO,NULL,,MUL,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,5,official_state_name,varchar(128),utf8mb4_unicode_ci,NO,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,6,zcta,tinyint(1),NULL,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,7,zcta_parent,char(5),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,8,population,int(11),NULL,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,9,density,"decimal(12,4)",NULL,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,10,primary_official_county_code,char(5),utf8mb4_unicode_ci,YES,NULL,,MUL,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,11,primary_official_county_name,text,utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,12,county_weights,text,utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,13,official_county_name,text,utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,14,official_county_code,varchar(64),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,15,imprecise,tinyint(1),NULL,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,16,military,tinyint(1),NULL,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,17,timezone,varchar(64),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,18,geo_point,varchar(64),utf8mb4_unicode_ci,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,19,created_at,timestamp,NULL,NO,current_timestamp(),,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,20,latitude,"decimal(9,6)",NULL,YES,NULL,,MUL,NULL,InnoDB,utf8mb4_unicode_ci,
IONGeoCodes,21,longitude,"decimal(9,6)",NULL,YES,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGoogleDriveTokens,1,id,int(11),NULL,NO,NULL,auto_increment,PRI,NULL,InnoDB,utf8mb4_unicode_ci,
IONGoogleDriveTokens,2,user_id,int(11),NULL,NO,NULL,,MUL,NULL,InnoDB,utf8mb4_unicode_ci,
IONGoogleDriveTokens,3,email,varchar(255),utf8mb4_unicode_ci,NO,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGoogleDriveTokens,4,access_token,text,utf8mb4_unicode_ci,NO,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGoogleDriveTokens,5,refresh_token,text,utf8mb4_unicode_ci,NO,NULL,,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGoogleDriveTokens,6,expires_at,datetime,NULL,NO,NULL,,MUL,NULL,InnoDB,utf8mb4_unicode_ci,
IONGoogleDriveTokens,7,created_at,timestamp,NULL,NO,current_timestamp(),,,NULL,InnoDB,utf8mb4_unicode_ci,
IONGoogleDriveTokens,8,updated_at,timestamp,NULL,NO,current_timestamp(),on update current_timestamp(),,NULL,InnoDB,utf8mb4_unicode_ci,
IONLocalBlast,1,id,int(11),NULL,NO,NULL,auto_increment,PRI,NULL,InnoDB,utf8mb4_unicode_ci,
